timestamp,solexs_flux
2024-01-01 00:00:00,9.650932600625469e-08
2024-01-01 00:00:01,8.975995079884683e-08
2024-01-01 00:00:02,1.0359558788020134e-07
2024-01-01 00:00:03,1.0625317702941899e-07
2024-01-01 00:00:04,1.0477459681594677e-07
2024-01-01 00:00:05,1.049938782460283e-07
2024-01-01 00:00:06,9.823585363635681e-08
2024-01-01 00:00:07,1.0369640685033648e-07
2024-01-01 00:00:08,8.986340712666004e-08
2024-01-01 00:00:09,1.0097318297070718e-07
2024-01-01 00:00:10,9.392959404162909e-08
2024-01-01 00:00:11,1.1363015949638644e-07
2024-01-01 00:00:12,1.0840541307026337e-07
2024-01-01 00:00:13,8.306673660426046e-08
2024-01-01 00:00:14,1.1037603384774401e-07
2024-01-01 00:00:15,8.756630414146265e-08
2024-01-01 00:00:16,8.492795792564124e-08
2024-01-01 00:00:17,9.657406084711645e-08
2024-01-01 00:00:18,9.514215562882492e-08
2024-01-01 00:00:19,1.0906941257664499e-07
2024-01-01 00:00:20,1.1600201712893022e-07
2024-01-01 00:00:21,1.127453155841794e-07
2024-01-01 00:00:22,8.817837130075341e-08
2024-01-01 00:00:23,9.968812272171999e-08
2024-01-01 00:00:24,9.266531583608642e-08
2024-01-01 00:00:25,1.1908476198919882e-07
2024-01-01 00:00:26,9.892017659443632e-08
2024-01-01 00:00:27,1.0734692860556398e-07
2024-01-01 00:00:28,9.349910800179115e-08
2024-01-01 00:00:29,8.363554071049327e-08
2024-01-01 00:00:30,1.059366849866489e-07
2024-01-01 00:00:31,9.427807997186931e-08
2024-01-01 00:00:32,8.89119444659371e-08
2024-01-01 00:00:33,1.1010207580343208e-07
2024-01-01 00:00:34,1.0452875333783613e-07
2024-01-01 00:00:35,8.821553588413011e-08
2024-01-01 00:00:36,8.781106108901812e-08
2024-01-01 00:00:37,1.0810764765148557e-07
2024-01-01 00:00:38,1.0004367391524415e-07
2024-01-01 00:00:39,9.828558939511052e-08
2024-01-01 00:00:40,1.0809510512179775e-07
2024-01-01 00:00:41,9.947775033928758e-08
2024-01-01 00:00:42,9.359957130036124e-08
2024-01-01 00:00:43,9.868824038287812e-08
2024-01-01 00:00:44,7.281430571067465e-08
2024-01-01 00:00:45,9.221628994922265e-08
2024-01-01 00:00:46,1.0139523467746748e-07
2024-01-01 00:00:47,8.437370718106414e-08
2024-01-01 00:00:48,1.098702318982502e-07
2024-01-01 00:00:49,1.0036457300455363e-07
2024-01-01 00:00:50,1.2177389958268494e-07
2024-01-01 00:00:51,8.759442173039729e-08
2024-01-01 00:00:52,9.248614584070829e-08
2024-01-01 00:00:53,1.1525617657239873e-07
2024-01-01 00:00:54,9.313415014780317e-08
2024-01-01 00:00:55,9.607233341110643e-08
2024-01-01 00:00:56,7.245090141299817e-08
2024-01-01 00:00:57,1.1610725072159233e-07
2024-01-01 00:00:58,1.0850177206699698e-07
2024-01-01 00:00:59,1.1349123637664662e-07
2024-01-01 00:01:00,9.796296761851979e-08
2024-01-01 00:01:01,9.525142125008452e-08
2024-01-01 00:01:02,1.0210175412007862e-07
2024-01-01 00:01:03,9.784014439181629e-08
2024-01-01 00:01:04,9.130823748249699e-08
2024-01-01 00:01:05,9.738686686131272e-08
2024-01-01 00:01:06,1.0636856094922581e-07
2024-01-01 00:01:07,7.547501699931823e-08
2024-01-01 00:01:08,9.541964291816263e-08
2024-01-01 00:01:09,9.645760670368574e-08
2024-01-01 00:01:10,1.076123029274437e-07
2024-01-01 00:01:11,9.18726579965706e-08
2024-01-01 00:01:12,9.67783972803827e-08
2024-01-01 00:01:13,1.0785732434206383e-07
2024-01-01 00:01:14,1.0351051449122673e-07
2024-01-01 00:01:15,7.849904942961669e-08
2024-01-01 00:01:16,1.1592722270733536e-07
2024-01-01 00:01:17,9.8414665506034e-08
2024-01-01 00:01:18,1.049257906784363e-07
2024-01-01 00:01:19,1.0284397983357942e-07
2024-01-01 00:01:20,8.799477803038465e-08
2024-01-01 00:01:21,1.1503167865930203e-07
