timestamp,helios_flux
2024-01-01 00:00:00,9.616571378996984e-09
2024-01-01 00:00:01,1.0257668542119248e-08
2024-01-01 00:00:02,1.2805321974441426e-08
2024-01-01 00:00:03,1.3354353305034231e-08
2024-01-01 00:00:04,1.0571862059203485e-08
2024-01-01 00:00:05,1.234026211199022e-08
2024-01-01 00:00:06,1.3287200073848431e-08
2024-01-01 00:00:07,1.3002735213767987e-08
2024-01-01 00:00:08,1.1207884813974025e-08
2024-01-01 00:00:09,7.551841321627135e-09
2024-01-01 00:00:10,5.901317417251791e-09
2024-01-01 00:00:11,8.961717872146374e-09
2024-01-01 00:00:12,1.245598621966908e-08
2024-01-01 00:00:13,7.0775342404153914e-09
2024-01-01 00:00:14,9.13589077649725e-09
2024-01-01 00:00:15,7.463505487994934e-09
2024-01-01 00:00:16,1.208440977011859e-08
2024-01-01 00:00:17,9.568618688349793e-09
2024-01-01 00:00:18,9.18346661627787e-09
2024-01-01 00:00:19,1.2304615927452303e-08
2024-01-01 00:00:20,1.2539751198715648e-08
2024-01-01 00:00:21,1.1506977582423639e-08
2024-01-01 00:00:22,8.668408277253109e-09
2024-01-01 00:00:23,9.61383481076231e-09
2024-01-01 00:00:24,9.324270928312334e-09
2024-01-01 00:00:25,7.429635434617292e-09
2024-01-01 00:00:26,1.2123531969089848e-08
2024-01-01 00:00:27,7.612998874328205e-09
2024-01-01 00:00:28,9.243363089559188e-09
2024-01-01 00:00:29,1.0820952567581977e-08
2024-01-01 00:00:30,1.2258969729880291e-08
2024-01-01 00:00:31,9.415614151896078e-09
2024-01-01 00:00:32,1.0397255832401642e-08
2024-01-01 00:00:33,6.901769802208895e-09
2024-01-01 00:00:34,1.0964011539224796e-08
2024-01-01 00:00:35,1.330709925218352e-08
2024-01-01 00:00:36,1.2233506989518962e-08
2024-01-01 00:00:37,8.247039098299777e-09
2024-01-01 00:00:38,9.32655959939638e-09
2024-01-01 00:00:39,8.074743086136733e-09
2024-01-01 00:00:40,1.0614934632763024e-08
2024-01-01 00:00:41,1.084707981866998e-08
2024-01-01 00:00:42,9.67530040761858e-09
2024-01-01 00:00:43,1.1504720885456714e-08
2024-01-01 00:00:44,1.0334007546251054e-08
2024-01-01 00:00:45,7.292581275719273e-09
2024-01-01 00:00:46,1.05790705707319e-08
2024-01-01 00:00:47,7.780257623985642e-09
2024-01-01 00:00:48,1.0376040199366862e-08
2024-01-01 00:00:49,9.173114460628822e-09
2024-01-01 00:00:50,8.864265721433277e-09
2024-01-01 00:00:51,8.901198029380109e-09
2024-01-01 00:00:52,1.0698087377918472e-08
2024-01-01 00:00:53,6.528712200556487e-09
2024-01-01 00:00:54,1.052138152067973e-08
2024-01-01 00:00:55,1.0198268152918419e-08
2024-01-01 00:00:56,1.0653698362932006e-08
2024-01-01 00:00:57,9.861746130558968e-09
2024-01-01 00:00:58,1.0277176386669318e-08
2024-01-01 00:00:59,1.1732065686843255e-08
2024-01-01 00:01:00,1.3274503412597986e-08
2024-01-01 00:01:01,1.0977871792914222e-08
2024-01-01 00:01:02,5.832000325515164e-09
2024-01-01 00:01:03,1.0166933916452592e-08
2024-01-01 00:01:04,7.611275803922943e-09
2024-01-01 00:01:05,1.2008199796386944e-08
2024-01-01 00:01:06,1.120221428174606e-08
2024-01-01 00:01:07,9.749366971707294e-09
2024-01-01 00:01:08,1.4093382675584655e-08
2024-01-01 00:01:09,1.5439663227516924e-08
2024-01-01 00:01:10,1.3641431181562417e-08
2024-01-01 00:01:11,7.612348237835416e-09
2024-01-01 00:01:12,8.908396435740492e-09
2024-01-01 00:01:13,9.91701435449375e-09
2024-01-01 00:01:14,1.1290730372173646e-08
2024-01-01 00:01:15,9.129130022211563e-09
2024-01-01 00:01:16,8.892729894576311e-09
2024-01-01 00:01:17,1.2438704596951743e-08
2024-01-01 00:01:18,8.084826493474836e-09
2024-01-01 00:01:19,7.81581891615428e-09
2024-01-01 00:01:20,1.4142350050784417e-08
2024-01-01 00:01:21,7.9158520730776e-09
2024-01-01 00:01:22,8.144124957907518e-09
2024-01-01 00:01:23,1.0959589247974633e-08
2024-01-01 00:01:24,1.1055730894541844e-08
2024-01-01 00:01:25,8.398274512936175e-09
2024-01-01 00:01:26,1.07361489310992e-08
2024-01-01 00:01:27,9.33686294205588e-09
2024-01-01 00:01:28,9.981295705740203e-09
2024-01-01 00:01:29,1.0620483654342339e-08
2024-01-01 00:01:30,8.554088738978756e-09
2024-01-01 00:01:31,1.0381454997445542e-08
2024-01-01 00:01:32,1.1452579302414414e-08
2024-01-01 00:01:33,1.1384090408629908e-08
2024-01-01 00:01:34,1.0480269248716064e-08
2024-01-01 00:01:35,1.3560186944963954e-08
2024-01-01 00:01:36,8.149307023698802e-09
2024-01-01 00:01:37,1.0995736099486241e-08
2024-01-01 00:01:38,1.0561475176361629e-08
2024-01-01 00:01:39,8.974761196695452e-09
2024-01-01 00:01:40,1.3102638975914147e-08
2024-01-01 00:01:41,9.47549052036952e-09
2024-01-01 00:01:42,7.537006790696265e-09
2024-01-01 00:01:43,1.2005037702832312e-08
2024-01-01 00:01:44,1.1723020189955281e-08
2024-01-01 00:01:45,1.1290934666251156e-08
2024-01-01 00:01:46,1.1137907845609512e-08
2024-01-01 00:01:47,8.110360428595258e-09
2024-01-01 00:01:48,9.434360342261054e-09
2024-01-01 00:01:49,5.699166537790622e-09
2024-01-01 00:01:50,1.102334781677959e-08
2024-01-01 00:01:51,7.084789981312724e-09
2024-01-01 00:01:52,1.0728693035201319e-08
2024-01-01 00:01:53,1.1734035617297319e-08
2024-01-01 00:01:54,1.0486250755520175e-08
2024-01-01 00:01:55,9.438595301467421e-09
2024-01-01 00:01:56,1.1502488650317464e-08
2024-01-01 00:01:57,1.4042459284771254e-08
2024-01-01 00:01:58,7.863057878294287e-09
2024-01-01 00:01:59,1.2006287091461735e-08
2024-01-01 00:02:00,9.09914732017996e-09
2024-01-01 00:02:01,9.97793162633471e-09
2024-01-01 00:02:02,9.025383451725445e-09
2024-01-01 00:02:03,6.759080113366352e-09
2024-01-01 00:02:04,9.558153624046542e-09
2024-01-01 00:02:05,1.3906744533571269e-08
2024-01-01 00:02:06,8.87731575162648e-09
2024-01-01 00:02:07,9.78405378635084e-09
2024-01-01 00:02:08,9.832737762253969e-09
2024-01-01 00:02:09,1.0912264626086512e-08
2024-01-01 00:02:10,5.209550214653238e-09
2024-01-01 00:02:11,8.810973877868783e-09
2024-01-01 00:02:12,7.542992713596303e-09
2024-01-01 00:02:13,1.1723162368548607e-08
2024-01-01 00:02:14,1.1683073685412387e-08
2024-01-01 00:02:15,1.0546881864104767e-08
2024-01-01 00:02:16,1.1220811872740488e-08
2024-01-01 00:02:17,1.2271603231583147e-08
2024-01-01 00:02:18,1.043181265563297e-08
2024-01-01 00:02:19,9.918326756255589e-09
2024-01-01 00:02:20,1.423206024365456e-08
2024-01-01 00:02:21,1.330900702775948e-08
2024-01-01 00:02:22,1.0725577500348184e-08
2024-01-01 00:02:23,1.3164775764496906e-08
2024-01-01 00:02:24,9.549942666061679e-09
2024-01-01 00:02:25,1.124235487113936e-08
2024-01-01 00:02:26,1.2814913700725685e-08
2024-01-01 00:02:27,9.348283417467561e-09
2024-01-01 00:02:28,7.650756967352652e-09
2024-01-01 00:02:29,1.048955812964523e-08
2024-01-01 00:02:30,8.691657023594317e-09
2024-01-01 00:02:31,1.2429846868942134e-08
2024-01-01 00:02:32,8.352089231452475e-09
2024-01-01 00:02:33,7.217866056317888e-09
2024-01-01 00:02:34,8.26641850171685e-09
2024-01-01 00:02:35,8.67598538582825e-09
2024-01-01 00:02:36,1.0140311171376282e-08
2024-01-01 00:02:37,7.536357724140347e-09
2024-01-01 00:02:38,1.0675308570827785e-08
2024-01-01 00:02:39,8.171159533566287e-09
2024-01-01 00:02:40,9.34528746000483e-09
2024-01-01 00:02:41,9.542001031432742e-09
2024-01-01 00:02:42,1.1658771903437169e-08
2024-01-01 00:02:43,1.152291762852235e-08
2024-01-01 00:02:44,1.3995180277623939e-08
2024-01-01 00:02:45,6.581177893759309e-09
2024-01-01 00:02:46,7.822519951752877e-09
2024-01-01 00:02:47,7.81198654998544e-09
2024-01-01 00:02:48,1.2565434651332931e-08
2024-01-01 00:02:49,1.3148093310304493e-08
2024-01-01 00:02:50,9.527744536204895e-09
2024-01-01 00:02:51,1.1880517571376501e-08
2024-01-01 00:02:52,1.1406877688527797e-08
2024-01-01 00:02:53,6.770771963359229e-09
2024-01-01 00:02:54,8.64918874409486e-09
2024-01-01 00:02:55,1.3965126890371623e-08
2024-01-01 00:02:56,8.072500307891627e-09
2024-01-01 00:02:57,9.177764246086143e-09
2024-01-01 00:02:58,8.41540637872807e-09
2024-01-01 00:02:59,9.89961030997731e-09
2024-01-01 00:03:00,1.3519234194060617e-08
2024-01-01 00:03:01,9.08069641917646e-09
2024-01-01 00:03:02,8.417131972144522e-09
2024-01-01 00:03:03,7.562678336236455e-09
2024-01-01 00:03:04,1.014510650340752e-08
2024-01-01 00:03:05,7.944711007760612e-09
2024-01-01 00:03:06,9.158427645471553e-09
2024-01-01 00:03:07,1.3280313694343484e-08
